0	1922
0	1277
0	2509
0	1408
0	2164
0	2559
0	2512
0	205
0	893
0	543
0	2829
0	1421
0	203
0	2292
0	216
0	1181
0	2332
0	1556
0	743
0	2535
0	1047
0	2845
0	928
0	1686
0	2577
0	275
0	2710
0	433
0	1088
0	2910
0	2797
0	890
0	41
0	1582
1	1754
1	2761
1	1680
1	168
1	2728
1	2869
1	1710
1	536
1	1199
1	818
1	1295
1	153
1	1933
1	1607
1	2335
1	1217
1	1684
1	272
1	1273
1	803
1	1562
1	1071
1	501
2	568
2	822
2	826
2	1092
2	2031
2	2487
2	1709
2	75
2	1966
2	933
2	1700
2	34
2	740
2	2616
2	1315
2	2977
2	1974
2	584
2	1710
2	552
2	183
2	2840
2	2339
2	2873
2	1214
2	2986
2	2854
3	740
3	1540
3	108
3	2451
3	1421
3	2931
3	1088
3	2910
3	2535
3	2150
3	743
3	647
3	1911
3	2292
3	3
3	890
3	398
3	77
3	2559
3	203
3	2797
3	2710
3	543
3	2917
3	1181
3	433
3	1556
3	799
3	2512
3	866
3	357
3	1381
3	2570
3	1779
3	205
3	2164
3	2305
3	642
4	2913
4	2432
4	2816
4	2305
4	1793
4	1411
4	663
4	2921
4	2095
4	2071
4	1944
4	1962
4	2982
4	126
4	1839
4	1079
4	2325
4	2706
4	1343
4	2446
4	1177
4	438
4	137
4	187
4	904
4	2327
5	664
5	101
5	1768
5	1705
5	2347
5	1976
5	2974
5	1595
5	583
5	2620
5	2781
5	2229
5	1593
5	1243
5	2939
5	2364
5	2995
5	188
5	156
5	1507
5	1810
5	407
5	2718
5	2727
5	1970
5	1599
5	1745
5	853
5	1111
5	1503
5	2529
5	2494
5	9
5	1564
6	2574
6	2696
6	856
6	191
6	227
6	1309
6	1722
6	1215
6	1550
6	1487
6	2414
6	1300
6	704
6	181
6	87
6	2117
6	479
6	2513
6	919
6	2648
6	73
6	2384
6	72
6	1086
6	588
6	2716
6	2220
6	265
6	871
6	897
6	422
6	2205
7	294
7	1664
7	1792
7	768
7	2690
7	515
7	2309
7	2566
7	1492
7	7
7	801
7	1046
7	858
7	2591
7	910
7	1869
7	180
7	700
7	937
7	2317
7	2440
7	284
7	2471
7	51
7	2103
7	2308
7	789
7	393
7	2199
8	500
8	2079
8	2459
8	1818
8	1174
8	1827
8	2842
8	2099
8	8
8	2966
8	2587
8	2494
8	2713
8	1211
8	784
8	2014
8	431
8	2508
8	620
8	461
8	808
8	2236
8	397
8	2962
8	2072
8	716
8	1780
9	704
9	2403
9	2600
9	2744
9	2521
9	494
9	1011
9	458
9	692
9	1500
9	1472
9	2156
9	2166
9	805
9	888
9	2558
9	297
9	807
9	425
9	327
9	40
9	2468
9	1256
9	912
9	389
9	1702
9	1193
9	2476
9	2863
9	1209
9	607
10	725
